ID,LEARNING CENTER,BRANCH SCHOOL,TUTOR,HEAD TEACHER,ONLINE,OFFLINE
1092,Narayana Junior College,GURU SAI COACHING CENTER,2,3,2,1
1093,Accord School,SHINE IAS STUDY CIRCLE,3,1,3,6
1094,Narayana Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,4,4,5,5
1095,Anjali Junior College,SRI VISWAM COACHING CENTRE,4,3,2,3
1096,Anjali Junior College,POORNASAI COACHING,3,4,3,1
1097,Akshara High School,ACADEMY OF MATHEMATICS AND STATISTICS,4,4,3,5
1098,Akshara High School,BANKER'S ADDA,1,1,5,6
1099,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,C L CAREER LAUNCHER,1,4,4,6
1100,Sri Padmavathi Women's Junior College ,ROLLER SPORTS COACHING CENTRE,4,3,4,2
1101,Alpha Gamma Sigma Junior College,VIGNESH COACHING CENTRE,2,3,2,5
1102,Ashwamedha Junior College & Neet Medical Academy ,GURU SAI COACHING CENTER,1,4,1,2
1103,Akshara High School,VIGNESH COACHING CENTRE,2,1,3,3
1104,Academic Heights Public School - AHPS,VIGNESH COACHING CENTRE,4,4,3,6
1105,Sri Chaitanya Junior College ,SHINE IAS STUDY CIRCLE,4,1,3,2
1106,S V Defence Academy,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,3,2,3
1107,SDHR Junior & Degree & Pg College ,POORNASAI COACHING,2,4,4,2
1108,Ashwamedha Junior College & Neet Medical Academy ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,3,3,6
1109,S V Defence Academy,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,2,4,4
1110,Arunodaya High School,ROLLER SPORTS COACHING CENTRE,3,2,4,5
1111,Ashwamedha Junior College & Neet Medical Academy ,SREEDHAR'S CCE,4,4,4,6
1112,Nri Academy,SRI KRISHNAVENI COACHING CENTRE,2,4,4,3
1113,SDHR Junior & Degree & Pg College ,MY CAREER POINT,3,4,2,4
1114,Akshra English Medium School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,2,4,5
1115,Anu Vocational Junior College,ANALYST IAS ACADEMY,3,3,4,5
1116,Alpha Gamma Sigma Junior College,MAHENDRA EDUCATIONAL PVT LTD,1,3,1,3
1117,Accord School,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,4,1,1
1118,S V Defence Academy,SAIMEDHA GATE COACHING CENTER,1,4,1,1
1119,Ashwamedha Junior College & Neet Medical Academy ,SRI KRISHNAVENI COACHING CENTRE,2,2,3,1
1120,Anjali Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,3,2,2,5
1121,Anjali Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,3,2,6
1122,Narayana Junior College,Sheker'S IAS Study Circle,1,4,2,5
1123,Arunodaya High School,Sheker'S IAS Study Circle,2,2,3,1
1124,Accord School,DAMS SKY,4,2,1,5
1125,Anu Vocational Junior College,VIGNESH COACHING CENTRE,2,3,2,1
1126,Sri Chaitanya Junior College ,MY CAREER POINT,2,2,4,3
1127,Akshara High School,KARTHIK INSTITUTE OF POLICE COACHING,1,2,1,4
1128,S V Defence Academy,BHARATH DEFENCE COACHING CENTRE,4,4,5,1
1129,Arunodaya High School,ROLLER SPORTS COACHING CENTRE,1,2,5,5
1130,Akshara High School,SRI KRISHNAVENI COACHING CENTRE,1,4,5,4
1131,Anu Vocational Junior College,DAMS SKY,4,3,3,1
1132,S V Defence Academy,MAHENDRA EDUCATIONAL PVT LTD,3,4,3,6
1133,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,MY CAREER POINT,1,4,5,5
1134,Anjali Junior College,SHINE IAS STUDY CIRCLE,1,4,4,1
1135,S V Defence Academy,SRI VISWAM COACHING CENTRE,2,2,5,4
1136,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,4,1,1
1137,Sri Chaitanya Junior College ,VIGNESH COACHING CENTRE,2,4,5,5
1138,Anjali Junior College,POORNASAI COACHING,2,3,2,3
1139,Alpha Gamma Sigma Junior College,MAHENDRA EDUCATIONAL PVT LTD,3,1,4,2
1140,Anjali Junior College,MY CAREER POINT,3,4,1,5
1141,Alpha Gamma Sigma Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,3,1,5,3
1142,Nri Academy,ANALYST IAS ACADEMY,3,4,5,5
1143,Anu Vocational Junior College,ACE ENGINEERING ACADEMY,2,3,3,6
1144,Sri Padmavathi Women's Junior College ,KSRM COACHING CENTER,4,4,3,3
1145,Anjali Junior College,SAIMEDHA GATE COACHING CENTER,2,3,5,3
1146,Anjali Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,3,4,5,3
1147,Anu Vocational Junior College,SRI KRISHNAVENI COACHING CENTRE,3,4,2,6
1148,Nri Academy,VIGNESH COACHING CENTRE,1,3,2,3
1149,Narayana Junior College,POORNASAI COACHING,3,4,4,4
1150,Sri Padmavathi Women's Junior College ,POORNASAI COACHING,4,2,4,4
1151,Sri Chaitanya Junior College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,4,2,4
1152,Accord School,BANKER'S ADDA,3,1,2,5
1153,Nri Academy,BANKER'S ADDA,1,2,3,6
1154,Narayana Junior College,SRI VISWAM COACHING CENTRE,1,4,5,5
1155,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,MAHENDRA EDUCATIONAL PVT LTD,4,2,3,4
1156,Sri Padmavathi Women's Junior College ,BANKER'S ADDA,3,4,1,2
1157,S V Defence Academy,SRI VISWAM COACHING CENTRE,3,4,5,5
1158,Academic Heights Public School - AHPS,ACE ENGINEERING ACADEMY,4,1,1,5
1159,Accord School,BHARATH DEFENCE COACHING CENTRE,2,3,1,3
1160,Accord School,NIIT,2,3,2,6
1161,Sri Padmavathi Women's Junior College ,BANKERS ADD,4,3,4,1
1162,Arunodaya High School,TALENTSPRINT PVT. LTD,4,2,1,2
1163,Sri Padmavathi Women's Junior College ,KARTHIK INSTITUTE OF POLICE COACHING,2,1,2,3
1164,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,CAREER LAUNCHER,1,2,4,5
1165,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,PANDITHA SUDHA COACHING CENTRE,2,4,3,3
1166,Arunodaya High School,MY CAREER POINT,4,2,5,1
1167,Ashwamedha Junior College & Neet Medical Academy ,C L CAREER LAUNCHER,2,4,3,5
1168,Anu Vocational Junior College,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,4,2,1
1169,Sri Padmavathi Women's Junior College ,SHINE IAS STUDY CIRCLE,4,3,4,5
1170,Accord School,ACADEMY OF MATHEMATICS AND STATISTICS,4,1,5,2
1171,Academic Heights Public School - AHPS,VIGNESH COACHING CENTRE,3,1,4,1
1172,Narayana Junior College,SRI KRISHNAVENI COACHING CENTRE,2,3,5,2
1173,Sri Chaitanya Junior College ,VIVEK COACHING CENTRE,1,4,5,2
1174,Anu Vocational Junior College,GURU SAI COACHING CENTER,1,4,5,2
1175,Nri Academy,ROLLER SPORTS COACHING CENTRE,4,1,3,4
1176,Akshara High School,PANDITHA SUDHA COACHING CENTRE,2,3,3,1
1177,S V Defence Academy,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,2,4,2
1178,Sri Padmavathi Women's Junior College ,Sheker'S IAS Study Circle,3,1,2,2
1179,Ashwamedha Junior College & Neet Medical Academy ,ANALYST IAS ACADEMY,2,3,2,6
1180,Alpha Gamma Sigma Junior College,KARTHIK INSTITUTE OF POLICE COACHING,1,2,4,3
1181,S V Defence Academy,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,4,5,3
1182,Sri Padmavathi Women's Junior College ,GURU SAI COACHING CENTER,2,2,5,2
1183,Arunodaya High School,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,4,1,1
1184,Accord School,KARTHIK INSTITUTE OF POLICE COACHING,3,1,5,1
1185,Akshra English Medium School,BHARATH DEFENCE COACHING CENTRE,3,2,4,2
1186,Akshra English Medium School,DAMS SKY,3,2,2,6
1187,Accord School,SRI KRISHNAVENI COACHING CENTRE,2,4,2,6
1188,Alpha Gamma Sigma Junior College,EMINENT COACHING CENTRE,4,3,4,3
1189,S V Defence Academy,IGNITE ACADEMY,1,2,1,2
1190,Akshara High School,MAHENDRA EDUCATIONAL PVT LTD,2,4,2,2
1191,Accord School,SAIMEDHA GATE COACHING CENTER,1,3,3,4
1192,Nri Academy,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,2,4,1
1193,Akshara High School,IGNITE ACADEMY,1,1,1,3
1194,Arunodaya High School,MY CAREER POINT,1,1,2,5
1195,Nri Academy,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),1,1,1,5
1196,Narayana Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,1,4,5
1197,Arunodaya High School,SAIMEDHA EDUCATIONAL INSTITUTE,3,2,2,1
1198,Nri Academy,TALENTSPRINT PVT. LTD,1,2,4,1
1199,Sri Padmavathi Women's Junior College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,3,5,4
1200,Sri Chaitanya Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,4,1,3
1201,Anjali Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,2,1,1
1202,Ashwamedha Junior College & Neet Medical Academy ,Sheker'S IAS Study Circle,1,4,3,5
1203,Akshra English Medium School,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,1,2,5
1204,Anjali Junior College,ACE ENGINEERING ACADEMY,2,4,3,1
1205,S V Defence Academy,RADHAKRISHNA EDUCATIONAL INSTITUTES,4,4,2,3
1206,Sri Padmavathi Women's Junior College ,CAREER LAUNCHER,4,4,3,3
1207,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ANALYST IAS ACADEMY,4,1,1,5
1208,Akshra English Medium School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,1,3,5
1209,Ashwamedha Junior College & Neet Medical Academy ,POORNASAI COACHING,1,3,1,4
1210,Ashwamedha Junior College & Neet Medical Academy ,BANKER'S ADDA,1,4,3,5
1211,SDHR Junior & Degree & Pg College ,VIGNESH COACHING CENTRE,2,4,5,2
1212,Nri Academy,ROLLER SPORTS COACHING CENTRE,4,1,5,6
1213,Academic Heights Public School - AHPS,C L CAREER LAUNCHER,3,2,1,6
1214,Ashwamedha Junior College & Neet Medical Academy ,GURU SAI COACHING CENTER,3,2,1,4
1215,Akshra English Medium School,KARTHIK INSTITUTE OF POLICE COACHING,4,1,3,6
1216,Anjali Junior College,Sheker'S IAS Study Circle,1,2,2,6
1217,Alpha Gamma Sigma Junior College,VIGNESH COACHING CENTRE,2,2,1,1
1218,Narayana Junior College,SREEDHAR'S CCE,2,1,5,5
1219,Sri Padmavathi Women's Junior College ,ANALYST IAS ACADEMY,3,2,2,1
1220,Academic Heights Public School - AHPS,DAMS SKY,2,1,5,4
1221,Sri Padmavathi Women's Junior College ,POORNASAI COACHING,1,3,5,1
1222,S V Defence Academy,PANDITHA SUDHA COACHING CENTRE,2,2,5,6
1223,Anjali Junior College,NIIT,4,4,1,6
1224,Sri Padmavathi Women's Junior College ,SRI VISWAM COACHING CENTRE,2,4,5,5
1225,Alpha Gamma Sigma Junior College,TALENTSPRINT PVT. LTD,1,1,2,2
1226,Akshara High School,KSRM COACHING CENTER,1,2,2,3
1227,Arunodaya High School,RADHAKRISHNA EDUCATIONAL INSTITUTES,1,1,1,2
1228,Accord School,PANDITHA SUDHA COACHING CENTRE,3,2,4,6
1229,Anjali Junior College,GURU SAI COACHING CENTER,3,1,5,6
1230,Arunodaya High School,Sheker'S IAS Study Circle,1,4,1,3
1231,Accord School,SRI VISWAM COACHING CENTRE,2,2,2,4
1232,Sri Chaitanya Junior College ,SAIMEDHA GATE COACHING CENTER,3,3,1,5
1233,Sri Chaitanya Junior College ,VIGNESH COACHING CENTRE,4,3,4,6
1234,Nri Academy,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,2,2,6
1235,Nri Academy,SREEDHAR'S CCE,2,1,4,1
1236,S V Defence Academy,MY CAREER POINT,2,3,4,2
1237,SDHR Junior & Degree & Pg College ,SREEDHAR'S CCE,2,2,4,4
1238,Anu Vocational Junior College,SKILL WORLD COMPUTERS,2,4,1,3
1239,SDHR Junior & Degree & Pg College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,3,1,5
1240,Ashwamedha Junior College & Neet Medical Academy ,BHARATH DEFENCE COACHING CENTRE,4,2,4,4
1241,SDHR Junior & Degree & Pg College ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,2,5,3
1242,Anu Vocational Junior College,SKILL WORLD COMPUTERS,1,4,4,2
1243,SDHR Junior & Degree & Pg College ,VIVEK COACHING CENTRE,3,1,4,3
1244,SDHR Junior & Degree & Pg College ,KSRM COACHING CENTER,4,4,3,3
1245,Anu Vocational Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,2,5,6
1246,Narayana Junior College,EMINENT COACHING CENTRE,4,1,3,3
1247,S V Defence Academy,RADHAKRISHNA EDUCATIONAL INSTITUTES,4,2,3,6
1248,Sri Padmavathi Women's Junior College ,CAREER LAUNCHER,1,3,4,5
1249,Narayana Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,1,1,4,4
1250,Accord School,SAIMEDHA EDUCATIONAL INSTITUTE,2,2,5,5
1251,Akshra English Medium School,NIIT,4,2,4,1
1252,Narayana Junior College,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,2,1,5
1253,Arunodaya High School,VIVEK COACHING CENTRE,2,4,4,3
1254,Anjali Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,4,5,5
1255,Ashwamedha Junior College & Neet Medical Academy ,ROLLER SPORTS COACHING CENTRE,2,3,3,5
1256,Anu Vocational Junior College,TALENTSPRINT PVT. LTD,2,4,4,6
1257,Anu Vocational Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,2,4,5
1258,Anjali Junior College,EMINENT COACHING CENTRE,3,4,1,3
1259,Alpha Gamma Sigma Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,2,3,4
1260,Arunodaya High School,KARTHIK INSTITUTE OF POLICE COACHING,2,3,3,1
1261,S V Defence Academy,BHARATH DEFENCE COACHING CENTRE,1,3,1,4
1262,S V Defence Academy,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,2,5,6
1263,Ashwamedha Junior College & Neet Medical Academy ,BHARATH DEFENCE COACHING CENTRE,4,4,1,5
1264,Narayana Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,2,4,6
1265,Sri Chaitanya Junior College ,Sheker'S IAS Study Circle,1,2,3,6
1266,Ashwamedha Junior College & Neet Medical Academy ,ANALYST IAS ACADEMY,2,4,1,1
1267,SDHR Junior & Degree & Pg College ,KARTHIK INSTITUTE OF POLICE COACHING,4,3,4,3
1268,Sri Padmavathi Women's Junior College ,SHINE IAS STUDY CIRCLE,4,2,2,4
1269,Akshra English Medium School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,2,4,4
1270,Alpha Gamma Sigma Junior College,BANKERS ADD,4,3,3,4
1271,Nri Academy,POORNASAI COACHING,3,4,4,1
1272,S V Defence Academy,IGNITE ACADEMY,1,2,4,4
1273,Anjali Junior College,SKILL WORLD COMPUTERS,2,2,5,3
1274,Accord School,EMINENT COACHING CENTRE,2,1,1,2
1275,Nri Academy,ACADEMY OF MATHEMATICS AND STATISTICS,1,2,1,2
1276,Accord School,DAMS SKY,3,1,2,3
1277,Academic Heights Public School - AHPS,BANKERS ADD,4,3,4,6
1278,Nri Academy,SRI KRISHNAVENI COACHING CENTRE,2,4,1,5
1279,Anjali Junior College,VIGNESH COACHING CENTRE,2,3,3,5
1280,Academic Heights Public School - AHPS,ANALYST IAS ACADEMY,2,1,3,1
1281,Nri Academy,SREEDHAR'S CCE,4,3,4,2
1282,Accord School,JB INSTITUTE FOR COMPETITVE EXAMS,2,4,2,1
1283,Anjali Junior College,PANDITHA SUDHA COACHING CENTRE,2,4,3,3
1284,Academic Heights Public School - AHPS,POORNASAI COACHING,4,1,3,2
1285,Alpha Gamma Sigma Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,4,1,5,4
1286,Nri Academy,DAMS SKY,1,1,4,3
1287,Academic Heights Public School - AHPS,NIIT,1,3,5,2
1288,Sri Padmavathi Women's Junior College ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,4,1,5
1289,SDHR Junior & Degree & Pg College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,4,5,2
1290,Anu Vocational Junior College,BHARATH DEFENCE COACHING CENTRE,2,2,1,4
1291,Sri Padmavathi Women's Junior College ,TALENTSPRINT PVT. LTD,1,3,1,6
1292,Narayana Junior College,ROLLER SPORTS COACHING CENTRE,1,2,3,3
1293,Sri Padmavathi Women's Junior College ,MY CAREER POINT,2,1,2,6
1294,Anu Vocational Junior College,VIVEK COACHING CENTRE,4,4,5,4
1295,Anjali Junior College,GURU SAI COACHING CENTER,3,2,3,5
1296,Anjali Junior College,NIIT,1,4,2,1
1297,Narayana Junior College,ANALYST IAS ACADEMY,3,1,1,5
1298,S V Defence Academy,SAIMEDHA EDUCATIONAL INSTITUTE,4,1,1,1
1299,Accord School,KARTHIK INSTITUTE OF POLICE COACHING,4,4,5,6
1300,Nri Academy,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,4,1,5
1301,Sri Padmavathi Women's Junior College ,SKILL WORLD COMPUTERS,1,2,2,5
1302,S V Defence Academy,KARTHIK INSTITUTE OF POLICE COACHING,4,3,5,4
1303,Accord School,SRI VISWAM COACHING CENTRE,3,2,4,6
1304,S V Defence Academy,IGNITE ACADEMY,2,1,4,2
1305,Akshra English Medium School,KARTHIK INSTITUTE OF POLICE COACHING,3,1,3,1
1306,S V Defence Academy,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,2,5,4
1307,Arunodaya High School,SHINE IAS STUDY CIRCLE,3,1,1,2
1308,Sri Chaitanya Junior College ,CAREER LAUNCHER,3,3,2,4
1309,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,DAMS SKY,3,2,5,4
1310,Ashwamedha Junior College & Neet Medical Academy ,TALENTSPRINT PVT. LTD,3,4,2,4
1311,Academic Heights Public School - AHPS,RADHAKRISHNA EDUCATIONAL INSTITUTES,1,1,5,2
1312,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ACADEMY OF MATHEMATICS AND STATISTICS,3,1,4,6
1313,Akshra English Medium School,ACE ENGINEERING ACADEMY,1,1,3,6
1314,Arunodaya High School,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,2,4,3
1315,SDHR Junior & Degree & Pg College ,POORNASAI COACHING,2,2,2,2
1316,Sri Chaitanya Junior College ,SRI VISWAM COACHING CENTRE,4,2,3,2
1317,Anjali Junior College,ANALYST IAS ACADEMY,3,4,2,1
1318,Accord School,ACADEMY OF MATHEMATICS AND STATISTICS,4,3,5,1
1319,Academic Heights Public School - AHPS,KSRM COACHING CENTER,3,4,5,1
1320,Sri Chaitanya Junior College ,SAIMEDHA GATE COACHING CENTER,3,1,2,2
1321,Narayana Junior College,VIGNESH COACHING CENTRE,3,1,4,1
1322,SDHR Junior & Degree & Pg College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,2,4,6
1323,SDHR Junior & Degree & Pg College ,SRI VISWAM COACHING CENTRE,3,4,1,2
1324,Sri Chaitanya Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,2,5,1
1325,Anu Vocational Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,1,3,3,1
1326,Anu Vocational Junior College,MAHENDRA EDUCATIONAL PVT LTD,2,4,3,2
1327,Akshra English Medium School,C L CAREER LAUNCHER,3,1,2,2
1328,Akshara High School,SRI KRISHNAVENI COACHING CENTRE,1,3,5,5
1329,Akshara High School,VIGNESH COACHING CENTRE,4,3,1,4
1330,S V Defence Academy,ACADEMY OF MATHEMATICS AND STATISTICS,3,4,2,1
1331,Academic Heights Public School - AHPS,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,4,1,3
1332,Nri Academy,GURU SAI COACHING CENTER,2,3,3,4
1333,SDHR Junior & Degree & Pg College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,3,2,5,4
1334,Ashwamedha Junior College & Neet Medical Academy ,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,1,5,5
1335,Sri Chaitanya Junior College ,SAIMEDHA EDUCATIONAL INSTITUTE,3,4,2,4
1336,Nri Academy,CAREER LAUNCHER,4,4,5,6
1337,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SAIMEDHA EDUCATIONAL INSTITUTE,3,4,5,1
1338,Sri Padmavathi Women's Junior College ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,1,5,5
1339,Sri Chaitanya Junior College ,GURU SAI COACHING CENTER,4,2,3,3
1340,Narayana Junior College,EMINENT COACHING CENTRE,2,2,1,2
1341,Arunodaya High School,POORNASAI COACHING,4,4,5,3
1342,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,MAHENDRA EDUCATIONAL PVT LTD,4,2,5,5
1343,S V Defence Academy,SRI KRISHNAVENI COACHING CENTRE,4,2,2,2
1344,Academic Heights Public School - AHPS,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,1,1,1
1345,Narayana Junior College,BANKERS ADD,2,2,4,3
1346,Narayana Junior College,SKILL WORLD COMPUTERS,2,2,5,5
1347,Sri Chaitanya Junior College ,EMINENT COACHING CENTRE,3,2,1,5
1348,Academic Heights Public School - AHPS,IGNITE ACADEMY,4,3,4,4
1349,Anjali Junior College,NIIT,4,1,4,5
1350,Akshara High School,MAHENDRA EDUCATIONAL PVT LTD,1,3,5,3
1351,Narayana Junior College,DAMS SKY,2,1,4,3
1352,Accord School,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,4,3,2
1353,Narayana Junior College,KSRM COACHING CENTER,2,1,2,1
1354,Sri Padmavathi Women's Junior College ,VIGNESH COACHING CENTRE,4,4,4,4
1355,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,DAMS SKY,4,2,2,6
1356,Narayana Junior College,SAIMEDHA GATE COACHING CENTER,2,1,3,6
1357,S V Defence Academy,SRI VISWAM COACHING CENTRE,1,1,5,6
1358,Sri Chaitanya Junior College ,ANALYST IAS ACADEMY,4,2,5,4
1359,Accord School,SREEDHAR'S CCE,1,2,4,4
1360,Akshra English Medium School,TALENTSPRINT PVT. LTD,2,3,2,6
1361,Arunodaya High School,IGNITE ACADEMY,1,4,5,2
1362,Arunodaya High School,ACADEMY OF MATHEMATICS AND STATISTICS,3,1,1,3
1363,Anjali Junior College,VIGNESH COACHING CENTRE,4,2,3,4
1364,S V Defence Academy,SRI KRISHNAVENI COACHING CENTRE,4,1,3,6
1365,Accord School,VIGNESH COACHING CENTRE,2,1,5,4
1366,Accord School,PANDITHA SUDHA COACHING CENTRE,2,2,2,2
1367,Nri Academy,SHINE IAS STUDY CIRCLE,2,2,1,4
1368,SDHR Junior & Degree & Pg College ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,2,3,2
1369,Arunodaya High School,ACE ENGINEERING ACADEMY,4,2,3,4
1370,Akshara High School,Sheker'S IAS Study Circle,4,3,4,2
1371,Alpha Gamma Sigma Junior College,PANDITHA SUDHA COACHING CENTRE,4,3,2,2
1372,Arunodaya High School,ANALYST IAS ACADEMY,2,2,3,1
1373,Anjali Junior College,C L CAREER LAUNCHER,3,2,1,6
1374,Alpha Gamma Sigma Junior College,GURU SAI COACHING CENTER,3,4,1,2
1375,Alpha Gamma Sigma Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,1,4,1,2
1376,Academic Heights Public School - AHPS,SKILL WORLD COMPUTERS,4,3,4,6
1377,Arunodaya High School,JB INSTITUTE FOR COMPETITVE EXAMS,4,4,4,5
1378,Arunodaya High School,DAMS SKY,3,1,1,2
1379,Academic Heights Public School - AHPS,SKILL WORLD COMPUTERS,1,1,2,5
1380,Narayana Junior College,TALENTSPRINT PVT. LTD,3,3,5,2
1381,Arunodaya High School,Sheker'S IAS Study Circle,1,3,2,6
1382,Anjali Junior College,NIIT,4,1,1,2
1383,Narayana Junior College,EMINENT COACHING CENTRE,2,1,3,5
1384,Anjali Junior College,PANDITHA SUDHA COACHING CENTRE,3,3,3,6
1385,Sri Padmavathi Women's Junior College ,SKILL WORLD COMPUTERS,1,4,2,4
1386,Anjali Junior College,MY CAREER POINT,2,2,5,5
1387,S V Defence Academy,Sheker'S IAS Study Circle,4,4,2,3
1388,Akshara High School,SREEDHAR'S CCE,3,1,5,6
1389,Accord School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,3,1,5
1390,Anjali Junior College,MY CAREER POINT,3,1,2,4
1391,Arunodaya High School,SKILL WORLD COMPUTERS,3,1,3,1
1392,Narayana Junior College,PANDITHA SUDHA COACHING CENTRE,2,1,5,1
1393,Accord School,BANKERS ADD,2,3,2,6
1394,Accord School,SAIMEDHA GATE COACHING CENTER,3,1,3,2
1395,Sri Padmavathi Women's Junior College ,C L CAREER LAUNCHER,3,4,1,5
1396,Accord School,BANKER'S ADDA,2,4,5,2
1397,Accord School,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,2,5,3
1398,Narayana Junior College,BANKERS ADD,1,2,2,2
1399,SDHR Junior & Degree & Pg College ,GURU SAI COACHING CENTER,2,4,4,5
1400,Ashwamedha Junior College & Neet Medical Academy ,GURU SAI COACHING CENTER,2,1,4,2
1401,Sri Padmavathi Women's Junior College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,2,3,3
1402,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,VIVEK COACHING CENTRE,2,2,3,6
1403,Arunodaya High School,IGNITE ACADEMY,1,2,2,4
1404,Anu Vocational Junior College,BANKERS ADD,1,2,3,6
1405,S V Defence Academy,GURU SAI COACHING CENTER,4,1,4,5
1406,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,BHARATH DEFENCE COACHING CENTRE,3,2,1,3
1407,Narayana Junior College,SRI KRISHNAVENI COACHING CENTRE,1,2,2,2
1408,Accord School,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,4,1,2
1409,Anu Vocational Junior College,MY CAREER POINT,1,1,3,4
1410,Sri Chaitanya Junior College ,SAIMEDHA EDUCATIONAL INSTITUTE,3,3,4,1
1411,Accord School,SRI VISWAM COACHING CENTRE,3,3,4,5
1412,Sri Chaitanya Junior College ,MY CAREER POINT,1,4,3,3
1413,Alpha Gamma Sigma Junior College,KSRM COACHING CENTER,2,4,2,2
1414,SDHR Junior & Degree & Pg College ,POORNASAI COACHING,4,2,5,4
1415,Alpha Gamma Sigma Junior College,SRI VISWAM COACHING CENTRE,3,4,5,5
1416,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SRI VISWAM COACHING CENTRE,4,1,4,4
